N-Z,N,Z,A,BINDING_energy_per_nucleon(keV),Uncertainty(keV),A^(2/3),A^(-1/3),P,I,B_exp(MeV),B_LDM(MeV),LDM_residual(MeV),D,Sn_exp(MeV),Sp_exp(MeV),S2n_exp(MeV),S2p_exp(MeV)
0,17,17,34,8398.9706,0.0,10.49508462297634,0.30867895949930413,-1.0,0.0,285.56500040000003,285.05719473688805,0.5078056631119807,1.5,11.508062300000063,5.143197200000031,27.24801480000002,14.713150799999994
-2,16,18,34,8197.6724,0.0,10.49508462297634,0.30867895949930413,1.0,-0.05882352941176472,278.7208616,278.0890817236987,0.6317798763012661,1.3333333333333333,17.06531689999997,4.66392350000001,32.3205768,6.940698399999974
9,22,13,35,7787.1243,7.9,10.699874805650794,0.30571070873287987,0.0,0.2571428571428571,272.5493505,274.12648012377224,-1.5771296237722368,1.4285714285714286,5.2974300999999855,15.836025900000038,7.868982899999992,
7,21,14,35,8169.5644,38.4,10.699874805650794,0.30571070873287987,0.0,0.19999999999999996,285.934754,286.03865150057135,-0.10389750057134961,0.8571428571428571,2.4711134000000357,18.68283359999998,10.019787199999996,33.93229340000002
5,20,15,35,8446.2496,2.0,10.699874805650794,0.30571070873287987,0.0,0.1428571428571429,295.61873599999996,293.63675667647414,1.9819793235258203,0.0,8.380425599999967,12.155095399999993,14.663095099999964,30.938368399999945
3,19,16,35,8537.8511,0.0,10.699874805650794,0.30571070873287987,0.0,0.08571428571428574,298.8247885,298.2002442547779,0.6245442452221255,0.8,6.985836100000029,11.586478100000022,18.40298530000001,22.90982170000001
1,18,17,35,8520.279,0.0,10.699874805650794,0.30571070873287987,0.0,0.02857142857142858,298.209765,298.2766589787395,-0.066893978739472,1.2,12.644764599999974,6.370812600000022,24.152826900000036,17.254124100000013
-1,17,18,35,8327.4621,0.7,10.699874805650794,0.30571070873287987,0.0,-0.02857142857142847,291.46117350000003,291.38385094346364,0.07732255653638731,1.2,12.740311900000052,5.896173099999999,29.805628800000022,11.03937030000003
-3,16,19,35,7965.8409,0.5,10.699874805650794,0.30571070873287987,0.0,-0.08571428571428563,278.8044315,277.5212701756555,1.283161324344519,0.8,,0.08356990000004316,,4.747493400000053
8,22,14,36,8112.5199,77.0,10.902723556992836,0.30285343213869,1.0,0.2222222222222222,292.05071640000006,292.719228959676,-0.6685125596759462,1.5,6.115962400000058,19.501365900000053,8.587075800000093,35.33739180000009
6,21,15,36,8307.8692,14.0,10.902723556992836,0.30285343213869,-1.0,0.16666666666666663,299.08329119999996,298.6366415453864,0.44664965461356587,0.8333333333333334,3.4645552000000066,13.148537199999964,11.844980799999973,31.831370799999945
4,20,16,36,8575.39,0.2,10.902723556992836,0.30285343213869,1.0,0.11111111111111116,308.71403999999995,307.8928285218288,0.8212114781711648,0.0,9.889251499999943,13.095303999999999,16.875087599999972,25.250399399999992
2,19,17,36,8521.9322,0.0,10.902723556992836,0.30285343213869,-1.0,0.05555555555555558,306.7895592,306.12982226592095,0.6597369340790351,0.75,8.57979419999998,7.964770699999974,21.224558799999954,19.551248799999996
0,18,18,36,8519.9096,0.0,10.902723556992836,0.30285343213869,1.0,0.0,306.7167456,307.1625676228631,-0.4458220228630694,1.0,15.255572099999995,8.50698060000002,27.995884000000046,14.877793200000042
-2,17,19,36,8142.2233,0.3,10.902723556992836,0.30285343213869,-1.0,-0.05555555555555558,293.1200388,292.0540457216162,1.0659930783837694,0.75,14.315607299999954,1.6588652999999454,,7.555038399999944
-4,16,20,36,7815.8799,42.9,10.902723556992836,0.30285343213869,1.0,-0.11111111111111116,281.3716764,279.7402340564964,1.631442343503636,0.0,,2.5672448999999915,,2.6508148000000347
9,23,14,37,7952.9033,122.1,11.103702468586784,0.30010006671856176,0.0,0.2432432432432432,294.25742210000004,295.74570256388336,-1.4882804638833136,2.0,2.2067056999999863,,8.322668100000044,
